title,premiered,image_url,studios,type,rating,score,scored by,rank,popularity,members,favorites,genres
Ashita no Joe 2,Fall 1980,https://cdn.myanimelist.net/images/anime/3/45028.jpg,Tokyo Movie Shinsha,TV,PG-13 - Teens 13 or older,8.66,7900,55,3121,21648,1039,Action;Drama;Shounen;Slice of Life;Sports;
Ashita no Joe 2 (Movie),,https://cdn.myanimelist.net/images/anime/5/53557.jpg,Tokyo Movie Shinsha,Movie,PG-13 - Teens 13 or older,7.28,864,2452,7273,2793,5,Drama;Sports;
Ashita no Joe Pilots,,https://cdn.myanimelist.net/images/anime/11/53387.jpg,Mushi Production,Special,PG-13 - Teens 13 or older,6.27,1064,6840,7447,2600,2,Drama;Shounen;Sports;
Ashita no Nadja,Winter 2003,https://cdn.myanimelist.net/images/anime/7/75381.jpg,Toei Animation,TV,G - All Ages,7.6,7308,1311,3138,21367,215,Adventure;Drama;Historical;Romance;Shoujo;
Ashita Sekai ga Owaru toshitemo,,https://cdn.myanimelist.net/images/anime/1248/95255.jpg,Craftar Studios,Movie,None,6.61,653,5273,4134,11708,38,Drama;Romance;
Ashita Tenki ni Naare,Fall 1984,https://cdn.myanimelist.net/images/anime/3/64569.jpg,Tsuchida Productions,TV,G - All Ages,6.24,162,6980,11023,538,1,Sports;Shounen;
Asience: Kami wa Onna no Inochi,,https://cdn.myanimelist.net/images/anime/5/10308.jpg,Production I.G,Special,PG-13 - Teens 13 or older,6.28,2280,6794,6112,4472,4,Historical;Samurai;
Asobi Asobase,Summer 2018,https://cdn.myanimelist.net/images/anime/1139/95077.jpg,Lerche,TV,PG-13 - Teens 13 or older,8.21,81884,307,612,182902,2183,Comedy;School;
Asobi Asobase OVA,,https://cdn.myanimelist.net/images/anime/1539/98126.jpg,Lerche,OVA,PG-13 - Teens 13 or older,7.51,8923,1567,3200,20641,10,Comedy;Drama;School;
Asobi Asobase Specials,,https://cdn.myanimelist.net/images/anime/1270/97437.jpg,Lerche,Special,PG-13 - Teens 13 or older,7.59,9618,1332,3296,19397,6,Comedy;
Asobi ni Iku yo!,Summer 2010,https://cdn.myanimelist.net/images/anime/7/75583.jpg,AIC Plus+,TV,R+ - Mild Nudity,6.72,67575,4750,798,144310,463,Comedy;Ecchi;Harem;Romance;Sci-Fi;
Asobi ni Iku yo!: Asobi ni Oide,,https://cdn.myanimelist.net/images/anime/7/26653.jpg,AIC Plus+,OVA,R+ - Mild Nudity,6.83,18588,4238,2397,35221,46,Comedy;Ecchi;Harem;Romance;Sci-Fi;
Asobi ni Iku yo!: Asobi ni Oide - Owari,,https://cdn.myanimelist.net/images/anime/6/71912.jpg,AIC Plus+,Special,PG-13 - Teens 13 or older,6.3,2830,6713,4981,7399,10,Comedy;
Asobot Senki Gokuu,Fall 2002,https://cdn.myanimelist.net/images/anime/3/5030.jpg,Studio Egg,TV,PG-13 - Teens 13 or older,6.71,788,4808,7564,2476,8,Action;Sci-Fi;Adventure;Comedy;Shounen;
Assassins Pride,Fall 2019,https://cdn.myanimelist.net/images/anime/1267/103421.jpg,EMT Squared,TV,PG-13 - Teens 13 or older,6.16,48181,7288,844,136916,536,Fantasy;
Assemble Insert,,https://cdn.myanimelist.net/images/anime/4/61291.jpg,Studio Core,OVA,PG-13 - Teens 13 or older,6.14,1128,7370,7400,2650,5,Sci-Fi;Comedy;Police;
Astarotte no Omocha!,Spring 2011,https://cdn.myanimelist.net/images/anime/3/75562.jpg,Diomedea,TV,PG-13 - Teens 13 or older,6.67,52950,4991,1039,110756,237,Comedy;Demons;Ecchi;Fantasy;Romance;Seinen;
Astarotte no Omocha! EX,,https://cdn.myanimelist.net/images/anime/11/30853.jpg,Diomedea,OVA,R+ - Mild Nudity,6.71,15277,4804,2655,29476,20,Comedy;Demons;Ecchi;Fantasy;Romance;Seinen;
Astro Boy: Tetsuwan Atom,Spring 2003,https://cdn.myanimelist.net/images/anime/1611/94026.jpg,Tezuka Productions,TV,G - All Ages,7,6430,3603,3758,14746,74,Action;Sci-Fi;Adventure;Super Power;Kids;Mecha;Shounen;
Astroganger,Fall 1972,https://cdn.myanimelist.net/images/anime/5/57971.jpg,Toei Animation,TV,G - All Ages,6.53,309,5639,9960,877,3,Action;Mecha;Sci-Fi;
Asu no Yoichi!,Winter 2009,https://cdn.myanimelist.net/images/anime/6/20621.jpg,AIC,TV,PG-13 - Teens 13 or older,6.86,86663,4133,724,157690,336,Harem;Comedy;Romance;Ecchi;Martial Arts;Shounen;
Asura,,https://cdn.myanimelist.net/images/anime/7/44289.jpg,Toei Animation,Movie,R+ - Mild Nudity,7.09,11470,3232,2892,25195,74,Drama;Historical;
Asura Cryin',Spring 2009,https://cdn.myanimelist.net/images/anime/7/17071.jpg,Seven Arcs,TV,PG-13 - Teens 13 or older,6.99,40268,3645,1320,85932,195,Action;Supernatural;Mecha;
Asura Cryin' 2,Fall 2009,https://cdn.myanimelist.net/images/anime/9/50897.jpg,Seven Arcs,TV,PG-13 - Teens 13 or older,7.35,28381,2139,1856,53788,111,Action;Supernatural;Mecha;
Atama Yama,,https://cdn.myanimelist.net/images/anime/8/18494.jpg,Studio Deen,Movie,PG - Children,6.48,3549,5886,5388,6176,6,Comedy;Dementia;Psychological;Fantasy;
Atarashii Sekai,,https://cdn.myanimelist.net/images/anime/5/14998.jpg,Studio 4°C,Music,G - All Ages,6.49,1373,5842,7701,2332,2,Music;
Atashin'chi,Spring 2002,https://cdn.myanimelist.net/images/anime/8/50895.jpg,Shin-Ei Animation,TV,G - All Ages,7.23,789,2644,7437,2602,26,Comedy;Slice of Life;
Atashin'chi 3D Movie: Jounetsu no Chou Chounouryoku Haha Dai Bousou,,https://cdn.myanimelist.net/images/anime/7/27154.jpg,Shin-Ei Animation,Movie,G - All Ages,6.44,113,6081,11723,396,3,Comedy;Super Power;
Atashin'chi Movie,,https://cdn.myanimelist.net/images/anime/12/27153.jpg,Toei Animation,Movie,G - All Ages,6.48,152,5886,11291,476,1,Comedy;Super Power;
Atom: The Beginning,Spring 2017,https://cdn.myanimelist.net/images/anime/6/86607.jpg,Production I.G,TV,PG-13 - Teens 13 or older,6.89,8560,4019,2913,24919,39,Action;Sci-Fi;Mecha;Seinen;
Attack No.1,Winter 1970,https://cdn.myanimelist.net/images/anime/13/59517.jpg,Tokyo Movie Shinsha,TV,PG-13 - Teens 13 or older,6.76,2284,4559,5407,6090,24,Drama;Shoujo;Sports;
Attacker You!,Spring 1984,https://cdn.myanimelist.net/images/anime/11/85676.jpg,Shaft,TV,R+ - Mild Nudity,6.6,1953,5315,6064,4570,18,Action;Romance;Shoujo;Sports;
Attraction,,https://cdn.myanimelist.net/images/anime/11/27263.jpg,Studio 4°C,ONA,G - All Ages,6.11,832,7501,8296,1821,1,Mystery;
Aura: Maryuuin Kouga Saigo no Tatakai,,https://cdn.myanimelist.net/images/anime/12/67107.jpg,AIC A.S.T.A.,Movie,R+ - Mild Nudity,7.54,17115,1485,2292,38579,141,Supernatural;Drama;Romance;School;
Aurora wo Mita Kyouryuu-tachi,,https://cdn.myanimelist.net/images/anime/4/88870.jpg,pH Studio,Movie,G - All Ages,,,10336,15650,97,0,Adventure;
Avengers Confidential: Black Widow to Punisher,,https://cdn.myanimelist.net/images/anime/10/66947.jpg,Madhouse,Movie,PG-13 - Teens 13 or older,6.39,1809,6304,6579,3731,6,Action;Sci-Fi;Seinen;
Aware! Meisaku-kun,Spring 2016,https://cdn.myanimelist.net/images/anime/13/79069.jpg,Pie in the sky,TV,G - All Ages,,,10338,12165,325,0,Comedy;Parody;Kids;School;
Aware! Meisaku-kun: DVD Hatsubai Kettei!,,https://cdn.myanimelist.net/images/anime/2/85783.jpg,Pie in the sky,ONA,G - All Ages,,,10339,14665,145,0,Comedy;Parody;
Aware! Meisaku-kun: Meiji Saite Oishii Mozzarella,,https://cdn.myanimelist.net/images/anime/7/84510.jpg,Pie in the sky,Special,G - All Ages,,,10342,14071,176,0,Comedy;Parody;
Aware! Meisaku-kun: Short Douga,,https://cdn.myanimelist.net/images/anime/1253/91712.jpg,Pie in the sky,ONA,G - All Ages,,,10345,14205,169,0,Comedy;Parody;
AWOL,Winter 1998,https://cdn.myanimelist.net/images/anime/1042/94209.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,5.8,113,8363,10297,738,0,Action;Space;Military;Sci-Fi;
Ayakashi,Winter 2008,https://cdn.myanimelist.net/images/anime/5/20942.jpg,Tokyo Kids,TV,R - 17+ (violence & profanity),6.39,10781,6303,2898,25085,27,Action;Sci-Fi;Horror;Fantasy;
Ayakashi: Japanese Classic Horror,Winter 2006,https://cdn.myanimelist.net/images/anime/2/11746.jpg,Toei Animation,TV,R - 17+ (violence & profanity),7.48,18355,1654,1942,50149,215,Mystery;Historical;Horror;Fantasy;
Ayane-chan High Kick!,,https://cdn.myanimelist.net/images/anime/7/73296.jpg,Rikuentai,OVA,PG-13 - Teens 13 or older,5.92,1785,8039,6582,3722,6,Comedy;Shounen;Sports;
Ayashi no Ceres,Spring 2000,https://cdn.myanimelist.net/images/anime/8/23580.jpg,Studio Pierrot,TV,R - 17+ (violence & profanity),7.26,22154,2532,1979,48821,517,Adventure;Comedy;Horror;Psychological;Supernatural;Drama;Romance;Shoujo;
Ayatsuri Haramase DreamNote,,https://cdn.myanimelist.net/images/anime/1910/103819.jpg,Schoolzone,OVA,Rx - Hentai,6.22,2038,,5497,5853,20,Hentai;
Azuki-chan,Spring 1995,https://cdn.myanimelist.net/images/anime/7/10653.jpg,Madhouse,TV,G - All Ages,6.75,702,4605,8064,2019,7,Comedy;Romance;Shoujo;Slice of Life;
Azuki-chan the Movie,,https://cdn.myanimelist.net/images/anime/12/45236.jpg,Madhouse,Movie,G - All Ages,6.12,249,7454,10587,651,0,Comedy;Romance;Shoujo;Slice of Life;
Azumanga Daioh: Gekijou Tanpen,,https://cdn.myanimelist.net/images/anime/12/59965.jpg,J.C.Staff,Special,G - All Ages,7.04,19428,3440,2457,33838,20,Comedy;School;Slice of Life;
Azumanga Web Daioh,,https://cdn.myanimelist.net/images/anime/3/59967.jpg,J.C.Staff,ONA,G - All Ages,6.72,14257,4751,2831,25944,27,Comedy;School;Slice of Life;
Azumi Mamma★Mia,Summer 1997,https://cdn.myanimelist.net/images/anime/7/58375.jpg,Toei Animation,TV,None,,,10348,12827,254,0,Comedy;Kids;
Azur Lane,Fall 2019,https://cdn.myanimelist.net/images/anime/1957/102383.jpg,Bibury Animation Studios,TV,PG-13 - Teens 13 or older,6.33,13842,6582,1554,69704,547,Action;Military;Sci-Fi;
B Rappers Street,Spring 2019,https://cdn.myanimelist.net/images/anime/1126/99095.jpg,Pie in the sky,TV,G - All Ages,,,10350,11770,389,0,Music;Comedy;
B.B. Fish,,https://cdn.myanimelist.net/images/anime/11/39325.jpg,Production I.G,OVA,R+ - Mild Nudity,4.84,619,9872,8936,1408,0,Drama;Romance;Seinen;
B: The Beginning,,https://cdn.myanimelist.net/images/anime/1564/90469.jpg,Production I.G,ONA,R - 17+ (violence & profanity),7.49,79979,1623,706,161844,951,Action;Mystery;Police;Psychological;Supernatural;Thriller;
B: The Beginning 2,,https://cdn.myanimelist.net/images/anime/1594/93194.jpg,Production I.G,ONA,R+ - Mild Nudity,,,,2579,31009,58,Action;Mystery;Police;Psychological;Supernatural;Thriller;
Babel Nisei,Winter 1973,https://cdn.myanimelist.net/images/anime/5/64319.jpg,Toei Animation,TV,PG-13 - Teens 13 or older,6.44,240,6084,9347,1173,1,Sci-Fi;Adventure;Supernatural;Shounen;
Babel Nisei (2001),Fall 2001,https://cdn.myanimelist.net/images/anime/1090/92255.jpg,Vega Entertainment,TV,PG-13 - Teens 13 or older,5.82,751,8324,7596,2432,3,Action;Adventure;Supernatural;Mystery;Sci-Fi;Shounen;
Babel Nisei (OVA),,https://cdn.myanimelist.net/images/anime/4/38103.jpg,J.C.Staff,OVA,PG-13 - Teens 13 or older,5.91,686,8066,8243,1861,3,Action;Sci-Fi;Mecha;
Baby Felix,Fall 2000,https://cdn.myanimelist.net/images/anime/8/88777.jpg,Radix,TV,G - All Ages,,,10355,11631,410,1,Comedy;Kids;
Baby I Love You Daze,,https://cdn.myanimelist.net/images/anime/1985/97357.jpg,Bones,ONA,G - All Ages,7.42,1817,1863,6984,3199,13,Music;Romance;
Baby Princess 3D Paradise 0 [Love],,https://cdn.myanimelist.net/images/anime/9/85043.jpg,Studio Comet,OVA,R+ - Mild Nudity,6.49,12713,5843,2984,23749,54,Ecchi;Harem;Seinen;
Baby Steps,Spring 2014,https://cdn.myanimelist.net/images/anime/5/63361.jpg,Studio Pierrot,TV,PG-13 - Teens 13 or older,7.9,52851,666,1095,104388,740,Romance;School;Shounen;Sports;
Baby Steps 2nd Season,Spring 2015,https://cdn.myanimelist.net/images/anime/9/73683.jpg,Studio Pierrot,TV,PG-13 - Teens 13 or older,8.12,38585,394,1616,65274,287,Sports;Romance;School;Shounen;
Babylon,Fall 2019,https://cdn.myanimelist.net/images/anime/1942/102707.jpg,Revoroot,TV,R - 17+ (violence & profanity),7.09,20542,3234,1406,78963,276,Mystery;Psychological;Thriller;
Baccano!,Summer 2007,https://cdn.myanimelist.net/images/anime/3/14547.jpg,Brain's Base,TV,R - 17+ (violence & profanity),8.44,263212,127,102,593175,19853,Action;Comedy;Historical;Mystery;Supernatural;
Baccano! Specials,,https://cdn.myanimelist.net/images/anime/7/9129.jpg,Brain's Base,Special,R - 17+ (violence & profanity),8.19,87763,322,843,137396,328,Action;Mystery;Comedy;Historical;Supernatural;
Back Street Girls: Gokudolls,Summer 2018,https://cdn.myanimelist.net/images/anime/1484/93140.jpg,J.C.Staff,TV,R - 17+ (violence & profanity),6.92,28563,3921,1587,67731,218,Comedy;Ecchi;Seinen;
Backkom,,https://cdn.myanimelist.net/images/anime/7/65879.jpg,RG Animation Studios,TV,G - All Ages,5.9,589,8099,9230,1238,3,Comedy;Kids;
Backkom 2,,https://cdn.myanimelist.net/images/anime/2/65729.jpg,RG Animation Studios,TV,G - All Ages,5.87,226,8189,11272,481,0,Comedy;Kids;
Backkom Meogeujan Yeohaeng,,https://cdn.myanimelist.net/images/anime/9/66089.jpg,RG Animation Studios,Movie,G - All Ages,,,10359,12468,288,1,Magic;Adventure;Comedy;Kids;
Backkom Mission Impossible,,https://cdn.myanimelist.net/images/anime/4/65801.jpg,RG Animation Studios,ONA,G - All Ages,,,10360,12712,263,0,Comedy;Kids;Parody;
Backkom Specials,,https://cdn.myanimelist.net/images/anime/4/65805.jpg,RG Animation Studios,ONA,G - All Ages,6.02,107,7782,12568,276,0,Super Power;Comedy;Kids;
Backkom Sports,,https://cdn.myanimelist.net/images/anime/12/65731.jpg,RG Animation Studios,TV,G - All Ages,5.9,187,8100,11533,427,0,Comedy;Kids;Sports;
Backkom: Jung-gug Gijeogwi,,https://cdn.myanimelist.net/images/anime/9/65803.jpg,RG Animation Studios,Special,G - All Ages,5.71,139,8592,12210,318,0,Comedy;Kids;
Bad Boys,,https://cdn.myanimelist.net/images/anime/9/13330.jpg,Toei Animation,OVA,R - 17+ (violence & profanity),6.47,229,5931,9144,1284,4,Action;Comedy;Seinen;
Bai Niao Gu,,https://cdn.myanimelist.net/images/anime/1588/102442.jpg,Wolf Smoke Studio,Movie,G - All Ages,,,10370,14644,147,0,Supernatural;Magic;Fantasy;
Bai She: Yuan Qi,,https://cdn.myanimelist.net/images/anime/1559/103214.jpg,Light Chaser Animation Studios,Movie,PG-13 - Teens 13 or older,7.37,401,2045,8443,1729,4,Action;Adventure;Historical;Demons;Drama;Romance;Martial Arts;Fantasy;
Bai Ye Ling Long,,https://cdn.myanimelist.net/images/anime/1269/93787.jpg,Seven Stone Entertainment,ONA,PG-13 - Teens 13 or older,6.51,235,5736,7906,2162,8,Magic;Romance;School;Shoujo;
"Baito-saki wa ""Aku no Soshiki""!?",,https://cdn.myanimelist.net/images/anime/6/88903.jpg,HeART-BIT,ONA,G - All Ages,,,10371,12216,317,1,Action;Comedy;Romance;
Baja no Studio,,https://cdn.myanimelist.net/images/anime/11/87069.jpg,Kyoto Animation,OVA,PG - Children,7.07,1326,3321,6918,3313,5,Fantasy;Magic;
Baka Dakedo Chinchin Shaburu no dake wa Jouzu na Chii-chan♡,,https://cdn.myanimelist.net/images/anime/4/88511.jpg,T-Rex,OVA,Rx - Hentai,7.13,2824,,4924,7642,51,Hentai;
Baka Misérables,,https://cdn.myanimelist.net/images/anime/11/54813.jpg,DLE,ONA,PG-13 - Teens 13 or older,5.73,120,8543,12211,318,0,Music;Parody;
Baka na Imouto wo Rikou ni Suru no wa Ore no xx dake na Ken ni Tsuite,,https://cdn.myanimelist.net/images/anime/1753/103863.jpg,Collaboration Works,OVA,Rx - Hentai,7.22,6070,,3953,12986,112,Hentai;
Baka to Test to Shoukanjuu,Winter 2010,https://cdn.myanimelist.net/images/anime/3/50389.jpg,Silver Link.,TV,PG-13 - Teens 13 or older,7.67,254258,1125,174,461690,5442,Comedy;Romance;School;Super Power;
Baka to Test to Shoukanjuu Ni!,Summer 2011,https://cdn.myanimelist.net/images/anime/3/28992.jpg,Silver Link.,TV,PG-13 - Teens 13 or older,7.84,167048,764,367,277337,1196,Comedy;Super Power;Romance;School;
Baka to Test to Shoukanjuu Ni!: Mahou Hideyoshi Hideyoshi,,https://cdn.myanimelist.net/images/anime/8/63597.jpg,Silver Link.,Special,PG-13 - Teens 13 or older,7.18,7047,2849,3448,17784,11,Comedy;Magic;
Baka to Test to Shoukanjuu Specials,,https://cdn.myanimelist.net/images/anime/8/67315.jpg,Silver Link.,Special,PG-13 - Teens 13 or older,7.38,18033,2011,2240,39989,43,Magic;Comedy;School;
Baka to Test to Shoukanjuu: Matsuri,,https://cdn.myanimelist.net/images/anime/3/67303.jpg,Silver Link.,OVA,PG-13 - Teens 13 or older,7.68,57485,1094,1156,98226,110,Comedy;School;Super Power;
"Baka to Test to Shoukanjuu: Matsuri - Sentaku ni Yotte Tenkai ga Kawaru ""LIPS Eizou""",,https://cdn.myanimelist.net/images/anime/12/29181.jpg,Silver Link.,ONA,PG-13 - Teens 13 or older,6.86,10913,4130,2996,23591,14,Comedy;Parody;
Baka to Test to Shoukanjuu: Matsuri - Sentakushi Ikou nomi,,https://cdn.myanimelist.net/images/anime/11/75276.jpg,Silver Link.,Special,PG-13 - Teens 13 or older,7.08,3049,3284,4619,8927,10,Comedy;School;
Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai,,https://cdn.myanimelist.net/images/anime/9/67301.jpg,Silver Link.,ONA,PG-13 - Teens 13 or older,6.68,17936,4938,2403,35152,22,Comedy;Romance;
Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou,,https://cdn.myanimelist.net/images/anime/7/60855.jpg,Silver Link.,Special,PG-13 - Teens 13 or older,7.28,11127,2453,2699,28445,30,Comedy;Romance;School;Super Power;
Bakabon Osomatsu no Karee wo Tazunete Sansenri,,https://cdn.myanimelist.net/images/anime/3/62947.jpg,Studio Pierrot,Special,PG-13 - Teens 13 or older,,,10373,11758,391,1,Comedy;
Bakegyamon,Spring 2006,https://cdn.myanimelist.net/images/anime/10/21146.jpg,Radix,TV,PG - Children,6.68,484,4939,7754,2284,15,Action;Demons;Fantasy;Game;Shounen;
Bakemono no Ko,,https://cdn.myanimelist.net/images/anime/11/73540.jpg,Studio Chizu,Movie,PG-13 - Teens 13 or older,8.41,133135,148,430,244827,2362,Adventure;Supernatural;
Bakemonogatari,Summer 2009,https://cdn.myanimelist.net/images/anime/11/75274.jpg,Shaft,TV,R - 17+ (violence & profanity),8.35,447598,187,54,854724,33833,Romance;Supernatural;Mystery;Vampire;
Bakemonogatari Recap,,https://cdn.myanimelist.net/images/anime/11/65863.jpg,Shaft,Special,R - 17+ (violence & profanity),7.34,18525,2198,2223,40522,50,Mystery;Romance;Supernatural;
Baki,,https://cdn.myanimelist.net/images/anime/1979/93135.jpg,TMS Entertainment,ONA,R - 17+ (violence & profanity),7.27,43165,2488,1230,91456,490,Action;Martial Arts;Shounen;
Baki: Most Evil Death Row Convicts Special Anime,,https://cdn.myanimelist.net/images/anime/7/82055.jpg,Telecom Animation Film,OVA,R - 17+ (violence & profanity),6.4,2294,6263,5237,6572,13,Action;Martial Arts;Shounen;
Baku Ane 2: Otouto Ippai Shibocchau zo! The Animation,,https://cdn.myanimelist.net/images/anime/10/87885.jpg,Seven,OVA,Rx - Hentai,7.28,3084,,4665,8738,67,Hentai;
Baku Ane: Otouto Shibocchau zo! The Animation,,https://cdn.myanimelist.net/images/anime/4/63429.jpg,Seven,OVA,Rx - Hentai,7.45,9143,,3177,20903,336,Hentai;
Bakuen Campus Guardress,,https://cdn.myanimelist.net/images/anime/1087/93010.jpg,Production I.G,OVA,R - 17+ (violence & profanity),6.14,762,7371,7773,2273,6,Action;Comedy;Supernatural;School;Shounen;
Bakugan Battle Brawlers,Spring 2007,https://cdn.myanimelist.net/images/anime/7/21568.jpg,TMS Entertainment,TV,PG - Children,6.32,34046,6628,1785,56778,297,Action;Game;Fantasy;
Bakugan Battle Brawlers: Gundalian Invaders,Spring 2010,https://cdn.myanimelist.net/images/anime/10/32189.jpg,TMS Entertainment,TV,G - All Ages,6.24,14138,6978,2918,24927,107,Action;Adventure;Fantasy;Game;Shounen;
Bakugan Battle Brawlers: Mechtanium Surge,Winter 2011,https://cdn.myanimelist.net/images/anime/10/82083.jpg,TMS Entertainment,TV,G - All Ages,6.18,12357,7210,3055,22693,92,Action;Adventure;Fantasy;Game;Shounen;
Bakugan Battle Brawlers: New Vestroia,Spring 2009,https://cdn.myanimelist.net/images/anime/3/17258.jpg,TMS Entertainment,TV,PG - Children,6.4,20402,6262,2445,34100,188,Game;Adventure;Fantasy;Shounen;
Bakugan: Battle Planet,Spring 2019,https://cdn.myanimelist.net/images/anime/1477/100243.jpg,TMS Entertainment,TV,PG - Children,5.38,391,9309,8552,1641,6,Action;Game;Fantasy;
Bakujuu Gasshin Ziguru Hazeru,Spring 2013,https://cdn.myanimelist.net/images/anime/5/51759.jpg,Production Reed,TV,PG - Children,,,10374,11724,397,1,Action;Mecha;
Bakukyuu Hit! Crash B-Daman,Winter 2006,https://cdn.myanimelist.net/images/anime/7/18312.jpg,SynergySP,TV,PG - Children,6.18,376,7209,9161,1272,13,Game;Adventure;Kids;
Bakukyuu Renpatsu! Super B-Daman Specials,,https://cdn.myanimelist.net/images/anime/4/81875.jpg,Xebec,Special,G - All Ages,,,10376,14135,173,1,Adventure;Game;
Bakukyuu Renpatsu!! Super B-Daman,Winter 1999,https://cdn.myanimelist.net/images/anime/11/19555.jpg,Xebec,TV,G - All Ages,6.35,316,6484,9894,899,4,Game;Adventure;Kids;
Bakuman.,Fall 2010,https://cdn.myanimelist.net/images/anime/6/26138.jpg,J.C.Staff,TV,PG-13 - Teens 13 or older,8.28,202771,242,209,415358,7981,Comedy;Drama;Romance;Shounen;
Bakuman. 2nd Season,Fall 2011,https://cdn.myanimelist.net/images/anime/3/34923.jpg,J.C.Staff,TV,PG-13 - Teens 13 or older,8.44,149265,128,414,249578,1255,Comedy;Drama;Romance;Shounen;
Bakuman. 2nd Season Special,,https://cdn.myanimelist.net/images/anime/10/60369.jpg,J.C.Staff,Special,PG-13 - Teens 13 or older,6.76,4655,4561,4165,11543,13,Comedy;
Bakuman. 3rd Season,Fall 2012,https://cdn.myanimelist.net/images/anime/6/41845.jpg,J.C.Staff,TV,PG-13 - Teens 13 or older,8.63,134176,59,474,230239,2519,Comedy;Drama;Romance;Shounen;
Bakuman. 3rd Season Specials,,https://cdn.myanimelist.net/images/anime/2/62061.jpg,J.C.Staff,Special,PG-13 - Teens 13 or older,7.04,4211,3442,4073,12103,17,Comedy;
Bakuman.: Deraman.,,https://cdn.myanimelist.net/images/anime/10/60857.jpg,J.C.Staff,Special,PG-13 - Teens 13 or older,7.22,3341,2686,4018,12489,13,Comedy;School;Shounen;
Bakumatsu,Fall 2018,https://cdn.myanimelist.net/images/anime/1764/95110.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,5.83,2404,8296,3700,15246,20,Action;Historical;Samurai;
Bakumatsu Gijinden Roman,Winter 2013,https://cdn.myanimelist.net/images/anime/9/43673.jpg,TMS Entertainment,TV,PG-13 - Teens 13 or older,6.18,3449,7212,4522,9420,1,Historical;Fantasy;
Bakumatsu Kikansetsu Irohanihoheto,,https://cdn.myanimelist.net/images/anime/4/56037.jpg,Sunrise,ONA,PG-13 - Teens 13 or older,7.14,10370,3018,2459,33776,127,Action;Drama;Historical;Samurai;
Bakumatsu Rock,Summer 2014,https://cdn.myanimelist.net/images/anime/11/62557.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,6.09,7845,7569,2966,24053,49,Action;Music;Comedy;Historical;Shoujo;
Bakumatsu Rock: Mystery! Onsen Kaijiken ze yo!!,,https://cdn.myanimelist.net/images/anime/5/64137.jpg,Studio Deen,OVA,PG-13 - Teens 13 or older,6.09,341,7570,8149,1943,0,Music;Mystery;
Bakumatsu: Crisis,Spring 2019,https://cdn.myanimelist.net/images/anime/1979/100451.jpg,Studio Deen,TV,PG-13 - Teens 13 or older,5.73,1043,8543,4723,8459,17,Action;Historical;Samurai;
Bakunyuu Shimai,,https://cdn.myanimelist.net/images/anime/10/10118.jpg,Y.O.U.C,OVA,Rx - Hentai,6.27,1151,,6782,3450,14,Hentai;
Bakuon!!,Spring 2016,https://cdn.myanimelist.net/images/anime/3/78914.jpg,TMS Entertainment,TV,PG-13 - Teens 13 or older,6.5,17540,5786,2015,47637,87,Comedy;Seinen;Slice of Life;
Bakuon!! no Kobeya,,https://cdn.myanimelist.net/images/anime/9/83535.jpg,TMS Entertainment,Special,PG-13 - Teens 13 or older,6.15,623,7317,7901,2158,1,Comedy;Seinen;Slice of Life;
Bakuon!! OVA,,https://cdn.myanimelist.net/images/anime/8/79867.jpg,TMS Entertainment,OVA,PG-13 - Teens 13 or older,6.41,3522,6215,4962,7479,7,Cars;Seinen;Slice of Life;Sports;
Bakuretsu Hunters,Fall 1995,https://cdn.myanimelist.net/images/anime/1607/96463.jpg,Xebec,TV,R - 17+ (violence & profanity),6.75,5033,4605,3678,15419,36,Adventure;Comedy;Ecchi;Fantasy;Magic;Shounen;Supernatural;
Bakuretsu Hunters OVA,,https://cdn.myanimelist.net/images/anime/1267/97321.jpg,Xebec,OVA,R+ - Mild Nudity,6.57,2068,5448,5869,4969,9,Action;Adventure;Harem;Comedy;Super Power;Magic;Romance;Ecchi;Fantasy;Shounen;
Bakuretsu Tenshi,Spring 2004,https://cdn.myanimelist.net/images/anime/10/22647.jpg,Gonzo,TV,PG-13 - Teens 13 or older,6.84,25489,4208,1745,58807,256,Adventure;Comedy;Mecha;Sci-Fi;
Bakuretsu Tenshi: Infinity,,https://cdn.myanimelist.net/images/anime/11/21537.jpg,Gonzo,OVA,PG-13 - Teens 13 or older,6.82,6060,4284,3876,13706,14,Action;Comedy;Mecha;Sci-Fi;Shounen;
Bakuretsu Tenshi: Infinity Special,,https://cdn.myanimelist.net/images/anime/2/4071.jpg,Gonzo,Special,PG-13 - Teens 13 or older,6.77,1579,4511,5750,5231,3,Action;Sci-Fi;Mecha;
Bakusou Kyoudai Let's & Go,Winter 1996,https://cdn.myanimelist.net/images/anime/7/26251.jpg,Production I.G,TV,G - All Ages,6.83,3891,4240,5014,7296,39,Adventure;Cars;Sports;Shounen;
Bakusou Kyoudai Let's & Go MAX,Winter 1998,https://cdn.myanimelist.net/images/anime/13/18301.jpg,Xebec,TV,G - All Ages,6.61,1325,5273,7463,2578,12,Cars;Shounen;Sports;
